item,description,quantity,unit_price,line_total
Eve NO SI,,1.0,18.24,18.24
PORK / LOIN,,1.0,1.09,1.09
L D OATMEAL CRM,,1.0,1.25,1.25
oTAL,,1.0,121.92,121.92
