item,description,quantity,unit_price,line_total
WAS YOU SAVED,,1.0,0.64,0.64
ANSCK BARS Oozisogqgeig F,,1.0,4.98,4.98
HRI Use F,,1.0,6.88,6.88
HRI CL PEP F,,1.0,5.88,5.88
SC BCN CHDDR F,,1.0,6.98,6.98
ABE THINBRST F,,1.0,9.72,9.72
GALE ooo K,,1.0,32.0,32.0
TR HS FRH,,1.0,2.74,2.74
GV SLIDERS,,1.0,2.98,2.98
ACCESSORY,,1.0,0.97,0.97
RITZ F,,1.0,2.78,2.78
RUFFLES F,,1.0,2.5,2.5
