document_id,item,description,quantity,unit_price,line_total
WALMART-03-NA,WAS YOU SAVED,,1.0,0.64,0.64
WALMART-03-NA,ANSCK BARS Oozisogqgeig F,,1.0,4.98,4.98
WALMART-03-NA,HRI Use F,,1.0,6.88,6.88
WALMART-03-NA,HRI CL PEP F,,1.0,5.88,5.88
WALMART-03-NA,SC BCN CHDDR F,,1.0,6.98,6.98
WALMART-03-NA,ABE THINBRST F,,1.0,9.72,9.72
WALMART-03-NA,GALE ooo K,,1.0,32.0,32.0
WALMART-03-NA,TR HS FRH,,1.0,2.74,2.74
WALMART-03-NA,GV SLIDERS,,1.0,2.98,2.98
WALMART-03-NA,ACCESSORY,,1.0,0.97,0.97
WALMART-03-NA,RITZ F,,1.0,2.78,2.78
WALMART-03-NA,RUFFLES F,,1.0,2.5,2.5
