item,description,quantity,unit_price,line_total
A TAK,,1.0,0.55,0.55
TAK,,1.0,2.97,2.97
wee GRND TURKEY,,1.0,1.47,1.47
Check/Menber Prntd,,1.0,89.13,89.13
